,text,joy,anger,fear,sadness,disgust,person
241,Marine pen will win the election because since the attacks person think this is a religion while its Belgian na yours did see and view that Marine want to expel any person not French the most part bah are become rassiste,0.104538,0.504862,0.26966,0.267849,0.08844,lepen
242,It is often and everyone said that Navy the head on the shoulders not as Macron ,0.221102,0.168441,0.149263,0.332449,0.05269,lepen
243,"My friends say that if Le Pen is then certainly we will fight against terrorism but aid will be low or nonexistent ... see We want to look for a good job later but if we have no help to finance our studies, how do? Some people cannot work therefore private aid back to private food, housing ....",0.184098,0.025616,0.395233,0.378431,0.260238,lepen
244,Navy good idea but the other candidates does not these ideas ,0.751107,0.019134,0.089062,0.097459,0.018896,lepen
245,Marine pen wants to eradicate Jews and non-Muslim!! I have many friends Jews and Muslims!!,0.132796,0.319676,0.252196,0.083287,0.503124,lepen
246,I am you're on my friends think the same thing as me because we have already discuss this point and we said that Le Pen will be better president than uttons because they also believe that we deserve a better France and a better future for our children. ,0.61966,0.16005,0.025052,0.187256,0.054726,lepen
247,People are afraid of Marine Le Pen and it is favorit. I think the French do not want marine because it is associated with the national front and that this party is for a political party racist and therefore people do not vote for this point Navy still suffers the image of his father. ,0.016711,0.155654,0.426431,0.42528,0.348011,lepen
248,"I think Navy wins because its already change a woman to govern France, two would be less poor, we would frank and there would be less immigrants .. ",0.05176,0.11964,0.22669,0.604456,0.268743,lepen
249,"I think the presidential elections will be won by Emmanuel Macron because Navy PEN is part of a family where opinions are very negative on these personalities, wounds could follow and think ideas that represents his father. As some say ""as father, like daughter"". So for many reasons that the French are afraid to engage with the FN: fear of change, a new system, deception or consequences come to light of the Navy PEN. The French want to be able to identify and find its place in society. However, each program to very good ideas as bad after my opinion. However the French have fear of a radical change prefer voted Emmanuel Macron representing the ideas of the current system with ideas for it. For my part and d after is that I see, we vote more despite that part by our own will. Some want to dam Marine PEN voting Macron. Are really envy of French? The opinion of the French?  I think our choices are increasingly manipulated by the media and society. Each Frenchman should have the right to think and make its own choices without any external influences. We will therefore set this Sunday. ",0.481027,0.133214,0.616616,0.220586,0.130379,lepen
250,Because Navy real project for France. ,0.526704,0.077218,0.11183,0.094721,0.097772,lepen
251,Caron never tried the extreme right and Ms. Pen really seem to worry about middle class and France bottom,0.105436,0.266053,0.488146,0.308134,0.053048,lepen
252,"First, Macron is more persuasive than Le Pen but it has themes of its program that does not please me.  Secondly, Navy is a racist and I hate the fact I would not vote for Marine Le Pen or Macron   ",0.071519,0.600266,0.077094,0.112633,0.378302,lepen
253,"Yes it is the right choice because it has very good ideas to save France as close the borders, bring out the files. Prohibit to give money to the offender. And the fact out of europe, decision to be taken after a referendum so it is a very good decision and any voters Navy are not agree with that.",0.52709,0.091895,0.121437,0.209206,0.167802,lepen
254,Marine Le Pen are program is better because ,0.527267,0.103888,0.069857,0.101613,0.014433,lepen
255,"I think macron will president because many other candidate we asked their constituents not to vote the pen, the national front scares many French but the change is scary but this is not as a bad thing is why I vote Marine Le Pen ",0.009551,0.098225,0.850398,0.172216,0.136408,lepen
256,"I pence that Marine Le Pen won because risk has already lived 5 years in Holland and c was a disaster, knowing that Macron to the government of Holland party and that he wants to reproduce the same thing   ",0.338219,0.134351,0.200973,0.389047,0.094037,lepen
257,Navy monemy best for France ķ,0.598067,0.027852,0.037982,0.039771,0.015714,lepen
258,"Having had a great debate, Marine Le Pen lost votes, taking Mr Macron, I can say that it!",0.231587,0.354824,0.138294,0.27253,0.267523,lepen
259,"Macron will win the presidential election, why? Because Marine Le Pen has no program in hand, she prefers to watch the past other open as a large open book think it be in the games while still and fortunately off field! ",0.643725,0.144837,0.069807,0.076647,0.125058,lepen
260,For all media assassinate the reputation of Marine Le Pen against his father Jean Marie.Et they are all in favour of macron,0.355041,0.174481,0.083571,0.237649,0.104043,lepen
261,I think and I hope that Macron will win because I do not think that Marine Le Pen is able to lead France. May even implement us situation even more difficult than it have already.  ,0.256881,0.046356,0.359242,0.340652,0.108963,lepen
262,The French have still not understood that Marine Le Pen is the right choice for the country,0.429199,0.111065,0.117868,0.156348,0.068841,lepen
263,I pance that its navy will lepen will parsque simply emanuelle pete macron above his ass and pance that compare him to Navy lepan moin wants to move the france soetir up to the economic downturn shit my opinion,0.04717,0.477569,0.088752,0.369704,0.327441,lepen
264,For Marine Le Pen wants to return to the essence of the country France ,0.434799,0.1028,0.111115,0.144436,0.022266,lepen
265,Yes the fact that Marine Le Pen has no project for France.,0.300072,0.157157,0.099798,0.158763,0.087161,lepen
266,"I think LE PEN Navy can surprise us, I can deceive me more but if it leaves its chance how we can know?   I prefer a candidate who want this fight against terrorism and our values, that a candidate who believe that money and hokus-pokus in things fishy. ",0.038606,0.263823,0.344002,0.457387,0.201244,lepen
267,Yes because marine Pena held a speech on these promises to relieve France that will then emmanuel will be even lower macron France. ,0.278111,0.070142,0.222811,0.292445,0.240622,lepen
268,It was so of course being young talk about Jean Marie Le Pen now Marine Le Pen is terrifying for us. ,0.170506,0.173919,0.68907,0.072477,0.015987,lepen
269,"Macron is likely to win the election because it brings more people.  Le Pen has been see last night that it was not mature to cut the floor without stopping as primary, it has not the shoulders to support this country.",0.262589,0.158277,0.191185,0.40301,0.13267,lepen
270,"I think it is Emanuel Macron who will win this election because Navy Lepen represents the national front and that it is the daughter of Jean-Marie Lepen former candidate whose ideas laid too far and a ""fear"" of the national front is established ",0.061773,0.022681,0.780003,0.171411,0.159262,lepen
271,Psq Marine c lesang ,0.184496,0.090723,0.087573,0.144548,0.08421,lepen
272,Le Pen because it has to move France that France is not to seek advice to Europe ,0.345315,0.150272,0.268505,0.271607,0.064035,lepen
273,Yes because Navy Pen and already the national front and it has changed already thing and France can change and it can do less unemployment for France gives more job and for older people will increase their retirement,0.160291,0.172726,0.110672,0.400977,0.148831,lepen
274,The fact see a banker in power is unthinkable. France would be a plant has currency or the poor will purchasing power to enrichment of the rich. It is for this that I think the French will be Marine Le Pen even if it has not necessarily good ideologies.,0.212236,0.141406,0.195715,0.441823,0.144732,lepen
275,Mr Macron because eniencyn't want Madam Le Pen is second round.,0.311717,0.202638,0.096122,0.212985,0.039176,lepen
276,Some of my friends feel the same thing as me because he criticized the same thing to Mr. Macron and have the same ideas as me in relation to Madam Pen ,0.539097,0.255028,0.082206,0.109651,0.042136,lepen
277,"Not necessarily, but Madam Le Pen proposes better thing that Mr Macron. And we know you are singled out now.  ",0.53376,0.103554,0.079828,0.123905,0.019281,lepen
278,It will be Marine Le Pen prck it has all the positive points to put France in order ,0.547787,0.17171,0.032048,0.120304,0.029718,lepen
279,I think Macron after can be the Pen but hope not j,0.099344,0.343407,0.226336,0.119186,0.065895,lepen
280,Marine pen already because we cetait and appercu macron is a con then if with all the crap that balance it even on him and roof is that the press finds it is elected president bravo to the French people submitted ,0.081467,0.479141,0.174325,0.365986,0.091424,lepen
281,"I think Mr. The Pen will pass the 2ne turn, because it is proposing a program that seems enough to the height, of course, some fragilities but this is normal because everything can't be perfect. I think it capabilities required to become French president, and govern our pay. She knows or she will lead us ",0.082658,0.274647,0.211523,0.217897,0.038325,lepen
282,I think Marcrin gonna win these elections because despite the fear of French Navy remains far from the future with all its campaign.,0.04713,0.036054,0.860299,0.098962,0.066295,lepen
283,"All are united against the FN, Marine Le Pen",0.240201,0.159536,0.127685,0.140109,0.059974,lepen
284,Parceaus Marine Lepen wants to save the france,0.169492,0.13575,0.109429,0.276274,0.061039,lepen
285,The family Pen scares the people unfortunately. ,0.050598,0.063551,0.854498,0.053393,0.017605,lepen
286,Carle Pen wants files S back where they come from. She wants unemployment decreases in creating jobs in the smb smb,0.203465,0.176461,0.15239,0.221295,0.023807,lepen
287,Macron is likely to pass because everyone deflates before Navy can move,0.220776,0.09393,0.190376,0.363456,0.031008,lepen
288,"I think Navy is the only really want the good of this country and for everyone unlike macron: who, only supports the finance and cares of workers, pensioners or disabled ... Macron is just 1 crook",0.102394,0.25672,0.024652,0.34328,0.530529,lepen
289,Marine pen will change many thing and will remmettre a france.,0.16472,0.151917,0.149955,0.175358,0.037614,lepen
290,They think the Marine Le Pen Immigration and the output of the euro will be favourable to our country. ,0.161268,0.102065,0.210273,0.200829,0.159392,lepen
291,Because simply Macron was Hollande regime therefore same shit again for 5 years he is the author of the 49: 3 of the Act El komhri. Navy n is not qlqs just racist qlqs who wants to defend the history of his country and continue as a write a story Française ,0.072992,0.483881,0.027564,0.219911,0.506168,lepen
292,It is the only talking about real problems and shows us the flaws in our current government and passé.er especially Marine pen it has a programme for the defence of the country ,0.089848,0.132,0.144609,0.285632,0.328416,lepen
293,"Because with him, France will remain what it is and as it is. While with Marine, France change completely (political hard and severe against foreigners, withdrawal of France European Union ...). ",0.035985,0.190082,0.034274,0.613083,0.068882,lepen
294,They do not see things like me and not think the Pen to move,0.310785,0.256268,0.187222,0.1352,0.044531,lepen
295,I think Mr. Macron will be the next president because the French are afraid of Mrs Le Pen et al they continue to identify his father. And then she has continued to demonstrate by A + B that Mr. Macron Chiickens us all its nothing because people will vote for him. I will not vote for him because I am French manufacturing and that the work be priority to French. C is like the tax that it wanted to put on the roads he could have run but for the truck arriving from abroad or l for business hiring foreign road. But it was easier to its l stop after all this n is not the president who has to pay or all ministers our tax.  I would say that all its even defois gives envy its phobia d have papers. We cache too thing and its convien has a lot of French in l d be ignorance as it is a salary that comes at the end of the month. After great parent that are fought for what is right that we are going to lose with the temp.  In any ways I am my children have to study that deep better than us and that boat. Since in this country it n there for people who we arrive. After there are forgetting that if people are retired tot there will be more work for the future generation but you understand as now we life older to work later c is shameful. Finally made it al to develop since long but obviously they are again.,0.549466,0.139255,0.584559,0.534469,0.140982,lepen
296,Because the French have unfortunately not the guts to vote Le Pen by fear of change ,0.036882,0.03002,0.922268,0.023282,0.047029,lepen
297,Some people have difficulty understanding that the fn has changed and there is more racism free as the temp jean marie Lepen. And Navy 1 genuine program in all areas,0.321802,0.060455,0.045596,0.267334,0.049985,lepen
298,Programmes Macron nothing to France. Unless he has not enough experience to become president.  The Pena much thing to bring French value.,0.333991,0.248141,0.056494,0.210879,0.214358,lepen
299,Marine LE PEN must get things,0.23266,0.268383,0.209324,0.16666,0.050154,lepen
300,"For those who vote FN, many have a global vision of problems France (economy, work, education, terrorism, immigration).     It is quite debatable between us same capacities of achievements of the 140 measures that wishes to Mrs Le Pen.    However, access to supreme power remains a hope and not an idea any made. The harsh reality is undoubtedly the wrong opinion to the people of National Front before observing any program.",0.061167,0.202149,0.32618,0.584796,0.10625,lepen
301,"Yes Marine Le Pen is my good choice, because it is a strong woman who think about his country ",0.779369,0.04101,0.054494,0.080628,0.034382,lepen
302,"I think Macron will become president because Marine Le Pen is preceded by a known racist then people are afraid. Macron is rather young and gathers the people, then the people have confidence in him, but if Le Pen arrived until here is because of the fed up people and amalgam.",0.10675,0.301424,0.537677,0.107488,0.23964,lepen
303,Navy pena d much experience in the current political Macron is much too young to lead a country ,0.065484,0.118512,0.100935,0.371323,0.076205,lepen
304,Marine pen because now it is honest and forthright,0.162423,0.203874,0.119421,0.138722,0.032184,lepen
305,If Navy wins its'll pen the 3rd World War is on ... ,0.473082,0.234598,0.030996,0.103203,0.037197,lepen
306,Because mr macron is not be to not know if he and right or left and I pence that its gonna As mr holland. And Marine Le Pen has good idea and even if we do not like its gonna be referendum therefore no reason to vote not navy.   ,0.46631,0.141663,0.124565,0.325559,0.01762,lepen
307,Emmanuel Macron'll no longer because the French people have fear of national front. Fear of Madam Le Pen because if it is elected president the people will trigger a civil war,0.015704,0.0787,0.883022,0.076382,0.155676,lepen
308,Because marine Pen and a person too much frank we believe in these proposals sometimes in the exercise my are ossi good for all the French back ,0.645087,0.085427,0.049815,0.162737,0.009291,lepen
309,Parcequont has confidence in Marine Lepen,0.793736,0.020516,0.047397,0.049767,0.011992,lepen
310,Only Navy Lepen can save France.,0.249357,0.104956,0.100777,0.188728,0.071501,lepen
311,I think Macron will pass because Marine Le Pen has a program too aggressive while macron has a program more stable and more realistic in terms of the economy. Certe a program difficult to hear for some but more realistic than marine pen.,0.116842,0.222058,0.317657,0.360666,0.036502,lepen
312,"Emmanuel macron will be president, during the debate Marine Le Pen was not convincing enough and spend a lot next to the question. Was it no argument to protest against macron and the whole france ",0.294286,0.339569,0.137149,0.196623,0.229578,lepen
313,Macron has a program for the French people say that Marine Le Pen as yet metrise program is in the aggression. ,0.289243,0.163868,0.200928,0.253259,0.106638,lepen
314,"People are too afraid that the FN pass, they prefer to vote Macron. Opinion polls say elsewhere. Moreover, the most fear the French, it is the output of the European Union that Marine Le Pen proposes",0.031108,0.067413,0.894576,0.048665,0.091619,lepen
315,Navy has a good pen departed,0.306666,0.051594,0.061369,0.094371,0.038067,lepen
316,Marine pen because it will catch any errors that achieve and holland have done and decided and also it will give the French on foot and there is going to be a huge sort at the peculiar and emigrants,0.330938,0.21821,0.145872,0.393283,0.120751,lepen
317,Because the socialists are crooks it's quite a few years in power he has changed me otherwise and therefore more to other than we French working built France so I am the same as Marine Le Pen give the job to French it is a priority.  When you see the manifestations of extreme left we see clearly that it is that scum that tape I find it unacceptable queneau Balance my CRS Constable our police are above except type have burned because it protects the people,0.066678,0.312744,0.222826,0.325823,0.414448,lepen
318,I think Emmanuel Macron will prevail because Marine Le Pen and too radical and scared to France including young it could trigger a war.,0.020923,0.092166,0.857565,0.098283,0.024223,lepen
319,I think Le Pen will because in its program explains and demonstrates that it is the help France that our children have a better future they know a new France and independent. ,0.526882,0.145909,0.065591,0.079037,0.030466,lepen
320,"The draft Madam Pen until present is nothing good, it PPIM complicated abstract and empty in some parts. Even if I am not agree with Mr. macron, defend its project and qait it. Madam pen it feels just wants to win to push foreign outside france, frankly, it is not what we need.",0.253344,0.277813,0.20695,0.335589,0.138217,lepen
321,"They saw that between LePen and Macron, one candidate was for the French people ",0.232525,0.053556,0.148559,0.293442,0.42384,lepen
322,"For me it is the perfect people for France now.   Because France is under the terrorist attacks, Navy wants to get rid of terrorists, something that I can't find normal, is that everyone came from another country may dress held religious and traditional in public places, while we, French, if out a cross can be arrested by the police while others all go well and that if we their said something, it becomes racist and therefore Le Pen wants to prohibit this.",0.067218,0.471598,0.413099,0.159667,0.279927,lepen
323,Marine pen wants to restore the francais france back to work in france and a locked our border security and currency do increase the life cotidienne ,0.097897,0.162385,0.518606,0.169676,0.028237,lepen
324,"Although the National Front has a multitude of members and support, I think that the majority of the population is afraid of what represents this party report to Jean-Marie Le Pen once without the deep conviction to see that since his daughter is at the head of the party that has changed many things to intentions of the extreme right.    Thus it is unfortunate (for the National Front) that it does not win the presidential view of the failure of objectivity of the proportion of citizens who are most in agreement that we must change but despite the choice of candidates, not vote for change, but ""to dam"".",0.075051,0.061154,0.404466,0.276319,0.143034,lepen
325,The gonna win the election is Mr Macron because Mrs Le Pen has many projects but they will never successfully ,0.480942,0.224765,0.158504,0.128226,0.028346,lepen
326,"In a Europe which requires the France its guidelines without negotiations with the people through our leaders, our country is obliged to respect a lot of constraints that it cannot assume.    This is our agriculture, our national security, our economy and even political.    It would not be correct to say that Mrs Le Pen would solve all the problems facing France today.  But when it is closer to its program that embodies new rules potentially g, then yes, I think we can redress the country with this program.    We need ""new ideas"" and not the ""young with old ideas,"" something that the French ""march"" have difficulty integrating.    If Mr Macron have a real position to recover economically the country, why not have done during the quinquennium of Mr Holland ...?    The draft Mrs Le Pen is, in my opinion, a better chance for the French population and the country to rebuild all points as his opponent.",0.474788,0.125199,0.162987,0.514447,0.428115,lepen
327,Neither Macron nor Le Pen is slim to be èlue travels,0.351415,0.06404,0.04451,0.050339,0.037428,lepen
328,Marine pen advocates France and not Europe! ,0.186911,0.203369,0.113175,0.095832,0.078571,lepen
329,"The second round debate, Marine Le Pen is ridiculed, it did not submit its programme, it has that critical and out of sheets while Macron had a real program and it is never upset against ""insults"" of Le Pen.  Also the idea of Marine get us out of the Euro is incense because we are much dependent on these countries. I also found racist because even if it does not directly foreign France wants to ensure that it can no longer live as easily. ",0.229767,0.15186,0.140112,0.233538,0.438742,lepen
330,I think his will because Macron Marine pen is a danger to france.,0.04877,0.241124,0.676687,0.121218,0.111612,lepen
331,"Marine Le Pen would be a real change, a disruption of any of which we do not know the future and that can be would be good at the end of the quinquennium, but it is voted for the unknown is may be irresponsible, but we cannot judge without trying.",0.342928,0.391547,0.053177,0.12234,0.128671,lepen
332,It is Navy will win because its programme and great and France will be better with navy,0.811097,0.02662,0.031108,0.032058,0.058126,lepen
333,I think that Marine Le Pen will win the presidential election of 2017 because it has not lied to the French and for me it is has the best program ,0.634273,0.095997,0.139709,0.056304,0.053468,lepen
334,Because the Penne is never to 2nd round,0.438365,0.053234,0.079348,0.185525,0.043292,lepen
335,Le Pen because French want change.,0.138485,0.107065,0.172165,0.133188,0.039635,lepen
336,People are afraid to Pen ,0.015113,0.050055,0.899318,0.052242,0.042799,lepen
337,Marine pen is likely renporté election report has its idéoligie. She put France before in these speeches.,0.016266,0.244134,0.212526,0.193713,0.076019,lepen
338,I think it is Marine Le Pen,0.216156,0.193263,0.192244,0.167292,0.074731,lepen
339,"I choose to vote in reality despite Macron since for me or Macron, nor Lepen his place as president.  But it is sure that if Navy Lepen password is all screwed.",0.117271,0.336158,0.021561,0.61346,0.08551,lepen
340,Marine pen can be a good choice for France has never try to women or the fn then why not and then must stop believing that voting for the fn his racist is not true even the fn is not racist we just want a France before France happy free rich and helps it is French,0.299991,0.352662,0.050408,0.194182,0.285557,lepen
341,It must be elected because France needs change and change it is with Marine helped French we rose to the surface. And that one is in a free country and security ,0.118152,0.153126,0.152784,0.308253,0.133387,lepen
342,"Yes because Marine Le Pen divide while macron will not better but not divide the French between them, there will be less hatred",0.089004,0.599604,0.078606,0.212717,0.083148,lepen
343,Marine Le Pen is not a liar as Macron and is intended to change everything for France which is a good thing ,0.622828,0.083385,0.095202,0.086116,0.032987,lepen
344,Because marine Pence that she said is true.  Because macron am not closed borders and not project for the immigration therefore Marine Le Pen is more convincing and more serious for France and our future marine c is the Pen,0.353957,0.203027,0.136926,0.110995,0.059534,lepen
345,All persons not wishing that Marine Le Pen's vote for Macron nothing to Marine dam  ,0.378451,0.205053,0.073042,0.121283,0.207817,lepen
346,I think Marine Le Pen will not do everything because it will not alone but its would France become France. ,0.227475,0.107035,0.18221,0.349818,0.115892,lepen
347,Macros with Le Pen because it would be like going right into a wall! Especially for us young,0.395428,0.233624,0.127438,0.121147,0.042019,lepen
348,Macron because people see Marine Le Pen as a rasicte ,0.297915,0.180393,0.106371,0.185714,0.161494,lepen
349,Compare macron. The Pen pence has all these taxes that we are poverty. And these pensions that can pay their rent while he wants scams macron France and take all are money,0.05073,0.575647,0.015911,0.191766,0.22967,lepen
350,"My friends are people who voted Melancon like me, for them, Le Pen is racism and Macron a rich, or it is better to someone who likes money to power rather than someone who is not human",0.438331,0.286141,0.013085,0.087259,0.334185,lepen
351,I would like this itself Pen is elected but in my opinion the French are so stupid that will vote for a macron souhadisant declining residential tax while the rest will increase it's sad really sad!  ,0.004074,0.207968,0.132261,0.787171,0.154891,lepen
